Title,Authors,Date,Publication_Link
A revisit to the role of gender in moderating the effect of emotional intelligence on leadership effectiveness: A study from Egypt,"['Yasmine Nabih', 'Hiba Massoud', 'Rami Ayoubi', 'Megan Crawford']",21 May 2023,https://pureportal.coventry.ac.uk/en/publications/a-revisit-to-the-role-of-gender-in-moderating-the-effect-of-emoti
Becoming Nigerian,"['Emmanuel Johnson', 'Godswill Ezeonyeka', 'Aisha Houmadi', 'Inemesit Inyang', 'Lizzy Johnson', 'Misal Eskender']",25 Mar 2023,https://pureportal.coventry.ac.uk/en/publications/becoming-nigerian
Between sameness and difference: challenges for TNE,"['QueAnh Dang', 'Luca Morini']",11 Mar 2023,https://pureportal.coventry.ac.uk/en/publications/between-sameness-and-difference-challenges-for-tne
Coming out of the shadows: Investing in English private tutoring at a transition point in Kazakhstan’s education system during the global pandemic,"['Anas Hajar', 'Mehmet Karakus']",29 May 2023,https://pureportal.coventry.ac.uk/en/publications/coming-out-of-the-shadows-investing-in-english-private-tutoring-a
Foreword,['Marina Orsini-Jones'],1 May 2023,https://pureportal.coventry.ac.uk/en/publications/foreword-2
Getting the measure of remote e-working: a revision and further validation of the E-work life scale,"['Maria Charalampous', 'Christine Anne Grant', 'Carlo Tramontano']",2 Jan 2023,https://pureportal.coventry.ac.uk/en/publications/getting-the-measure-of-remote-e-working-a-revision-and-further-va
Hacking the Museum: Mandela27 - A Democratic DIY Pop-Up Installation,"['Jacqueline Cawston', 'Nomatashayina Mfecoe', 'David Powell', 'Dimitar Angelov']",16 May 2023,https://pureportal.coventry.ac.uk/en/publications/hacking-the-museum-mandela27-a-democratic-diy-pop-up-installation
Indonesian 2013 Curriculum Ten Years On: Impact on Mathematics Teaching,"['Duncan Lawson', 'Rosida Rakhmawati Muhammad', 'Farzana Aslam', 'Megan Crawford']",15 Jun 2023,https://pureportal.coventry.ac.uk/en/publications/indonesian-2013-curriculum-ten-years-on-impact-on-mathematics-tea
"Interactive Media for Cultural Heritage book: ""From Headsets to Mindsets: A Taxonomy for Human-centred Extended Reality Experimentations for Cultural Heritage.""  ",['Jacqueline Cawston'],30 Oct 2023,https://pureportal.coventry.ac.uk/en/publications/interactive-media-for-cultural-heritage-book-from-headsets-to-min
Measuring student well-being in adolescence: proposal of a five-factor integrative model based on PISA 2018 survey data,"['Matthew Courtney', 'Daniel Hernandez-Torrano', 'Mehmet Karakus', 'Neha Singh']",3 Jun 2023,https://pureportal.coventry.ac.uk/en/publications/measuring-student-well-being-in-adolescence-proposal-of-a-five-fa
